,Race ID,Grid Position,Final Position,Finish Time,Points Gained,Laps,Circuit ID,Race Name,Round,Date,Circuit URL,Driver ID,Driver First Name,Driver Last Name,Driver Code,Driver Number,Nationality,Driver URL,Total Points,Position After Race,Total Wins,Circuit Name,Circuit Location,Circuit Country,Circuit Latitude,Circuit Longitude
0,1052,2,1,1:32:03.897,25.0,56,3,Bahrain Grand Prix,1,28/03/21,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,25.0,1,1,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
1,1055,1,1,1:33:07.680,25.0,66,4,Spanish Grand Prix,4,09/05/21,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,94.0,1,3,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
2,1067,11,5,+41.812,10.0,58,5,Turkish Grand Prix,16,10/10/21,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Istanbul_Park,256.5,2,5,Istanbul Park,Istanbul,Turkey,40.9517,29.405
3,1056,7,7,+1:08.231,7.0,78,6,Monaco Grand Prix,5,23/05/21,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Circuit_de_Monaco,101.0,2,3,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
4,1061,2,1,1:58:23.284,25.0,52,9,British Grand Prix,10,18/07/21,http://en.wikipedia.org/wiki/2021_British_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Silverstone_Circuit,177.0,2,4,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
5,1062,1,2,+2.736,18.0,70,11,Hungarian Grand Prix,11,01/08/21,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Hungaroring,195.0,1,4,Hungaroring,Budapest,Hungary,47.5789,19.2486
6,1063,3,3,+2.601,7.5,1,13,Belgian Grand Prix,12,29/08/21,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,202.5,1,4,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
7,1065,4,20,-1,0.0,25,14,Italian Grand Prix,14,12/09/21,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,221.5,2,4,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
8,1071,10,1,1:32:22.851,25.0,71,18,São Paulo Grand Prix,19,14/11/21,http://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,318.5,2,6,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
9,1053,1,2,+22.000,19.0,63,21,Emilia Romagna Grand Prix,2,18/04/21,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,44.0,1,1,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
10,1070,2,2,+16.555,18.0,71,32,Mexico City Grand Prix,18,07/11/21,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,293.5,2,5,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
11,1059,2,2,+2.904,18.0,53,34,French Grand Prix,7,20/06/21,http://en.wikipedia.org/wiki/2021_French_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,119.0,2,3,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
12,1064,2,2,+20.932,19.0,72,39,Dutch Grand Prix,13,05/09/21,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Circuit_Zandvoort,221.5,2,4,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
13,1073,2,2,+2.256,18.0,58,24,Abu Dhabi Grand Prix,22,12/12/21,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,387.5,2,8,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
14,1069,2,2,+1.333,19.0,56,69,United States Grand Prix,17,24/10/21,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,275.5,2,5,Circuit of the Americas,Austin,USA,30.1328,-97.6411
15,1058,2,2,+35.743,19.0,71,70,Styrian Grand Prix,8,27/06/21,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Red_Bull_Ring,138.0,2,3,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
16,1060,4,4,+46.452,12.0,71,70,Austrian Grand Prix,9,04/07/21,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Red_Bull_Ring,150.0,2,3,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
17,1066,4,1,1:30:41.001,25.0,53,71,Russian Grand Prix,15,26/09/21,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Sochi_Autodrom,246.5,1,5,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
18,1057,2,15,+17.668,0.0,51,73,Azerbaijan Grand Prix,6,06/06/21,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Baku_City_Circuit,101.0,2,3,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
19,1054,2,1,1:34:31.421,25.0,66,75,Portuguese Grand Prix,3,02/05/21,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Algarve_International_Circuit,69.0,1,2,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267
20,1051,1,1,1:24:28.471,25.0,57,78,Qatar Grand Prix,20,21/11/21,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Losail_International_Circuit,343.5,2,7,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542
21,1072,1,1,2:06:15.118,26.0,50,77,Saudi Arabian Grand Prix,21,05/12/21,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix,1,Lewis,Hamilton,HAM,44,British,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,369.5,2,8,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
22,1052,1,2,+0.745,18.0,56,3,Bahrain Grand Prix,1,28/03/21,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,18.0,2,0,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
23,1055,2,2,+15.841,19.0,66,4,Spanish Grand Prix,4,09/05/21,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,80.0,2,1,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
24,1067,2,2,+14.584,18.0,58,5,Turkish Grand Prix,16,10/10/21,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Istanbul_Park,262.5,1,7,Istanbul Park,Istanbul,Turkey,40.9517,29.405
25,1056,2,1,1:38:56.820,25.0,78,6,Monaco Grand Prix,5,23/05/21,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Circuit_de_Monaco,105.0,1,2,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
26,1061,1,20,-1,0.0,0,9,British Grand Prix,10,18/07/21,http://en.wikipedia.org/wiki/2021_British_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Silverstone_Circuit,185.0,1,5,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
27,1062,3,9,+1:20.244,2.0,70,11,Hungarian Grand Prix,11,01/08/21,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Hungaroring,187.0,2,5,Hungaroring,Budapest,Hungary,47.5789,19.2486
28,1063,1,1,3:27.071,12.5,1,13,Belgian Grand Prix,12,29/08/21,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,199.5,2,6,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
29,1065,1,20,-1,0.0,25,14,Italian Grand Prix,14,12/09/21,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,226.5,1,7,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
30,1071,2,2,+10.496,18.0,71,18,São Paulo Grand Prix,19,14/11/21,http://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,332.5,1,9,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
31,1053,3,1,2:02:34.598,25.0,63,21,Emilia Romagna Grand Prix,2,18/04/21,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,43.0,2,1,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
32,1070,3,1,1:38:39.086,25.0,71,32,Mexico City Grand Prix,18,07/11/21,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,312.5,1,9,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
33,1059,1,1,1:27:25.770,26.0,53,34,French Grand Prix,7,20/06/21,http://en.wikipedia.org/wiki/2021_French_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,131.0,1,3,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
34,1064,1,1,1:30:05.395,25.0,72,39,Dutch Grand Prix,13,05/09/21,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Circuit_Zandvoort,224.5,1,7,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
35,1073,1,1,1:30:17.345,26.0,58,24,Abu Dhabi Grand Prix,22,12/12/21,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,395.5,1,10,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
36,1069,1,1,1:34:36.552,25.0,56,69,United States Grand Prix,17,24/10/21,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,287.5,1,8,Circuit of the Americas,Austin,USA,30.1328,-97.6411
37,1058,1,1,1:22:18.925,25.0,71,70,Styrian Grand Prix,8,27/06/21,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Red_Bull_Ring,156.0,1,4,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
38,1060,1,1,1:23:54.543,26.0,71,70,Austrian Grand Prix,9,04/07/21,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Red_Bull_Ring,182.0,1,5,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
39,1066,20,2,+53.271,18.0,53,71,Russian Grand Prix,15,26/09/21,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Sochi_Autodrom,244.5,2,7,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
40,1057,3,20,-1,0.0,45,73,Azerbaijan Grand Prix,6,06/06/21,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Baku_City_Circuit,105.0,1,2,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
41,1054,3,2,+29.148,18.0,66,75,Portuguese Grand Prix,3,02/05/21,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Algarve_International_Circuit,61.0,2,1,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267
42,1051,7,2,+25.743,19.0,57,78,Qatar Grand Prix,20,21/11/21,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Losail_International_Circuit,351.5,1,9,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542
43,1072,3,2,+11.825,18.0,50,77,Saudi Arabian Grand Prix,21,05/12/21,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix,830,Max,Verstappen,VER,33,Dutch,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,369.5,1,9,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044
